AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_TYPE,PUB_PUBLISHER,PUB_ISBN,PUB_DOI,PUB_CITATIONS,JOU_RATING_VHB,JOU_RATING_SCIMAGO,UPDATED,PUB_AUTHORS_LIST
Philipp Pohl,Improving a Fuzzy Neural Network for predicting Storage Usage and calculating Customer Value,2020,"Pohl, Philipp; Rabieyan, Reza",JournalArticle,,,,,,,,"['Philipp Pohl', 'Reza Rabieyan']"
,Podcast „Studium im Shutdown #WirStudierenZuhause“,,"Pusch, Sabine",Unknown,,,,,,,,['Sabine Pusch']
,Die Sorgfalt des Geschäftsführers in der Coronakrise – Anmerkungen zu § 43 GmbHG,2020,"Schindler, Darius Oliver",JournalArticle,,,,,,,,['Darius Oliver Schindler']
,USA: Soja und der Phase-One-Deal,2020,"Schindler, Darius Oliver",JournalArticle,,,,,,,,['Darius Oliver Schindler']
Dietmar Schorr,Materialverschweißungen verhindern durch Analytik – Trennung des Untrennbaren,2020,"Schorr, Dietmar",JournalArticle,,,,,,,,['Dietmar Schorr']
Dietmar Schorr,Charakterisierung von Oberflächenstrukturen,2020,"Schorr, Dietmar",JournalArticle,,,,,,,,['Dietmar Schorr']
Roland Küstermann,optes - Digitale Mathematikangebote mit individuellen Lernempfehlungen,2020,"Schreiber, Anne; Küstermann, Roland; Götz, Gerhard",JournalArticle,,,,,,,,"['Anne Schreiber', 'Roland Küstermann', 'Gerhard Götz']"
Roland Küstermann,Weiterbildungsmöglichkeiten für betriebliches Ausbildungspersonal,2020,"Schreiber, Anne; Küstermann, Roland",ContributionBookEdited,,,,,,,,"['Anne Schreiber', 'Roland Küstermann']"
,Lehrprojekt „Grand Challenge“,2020,"Zapp, Tobias",Unknown,,,,,,,,['Tobias Zapp']
Dietmar Schorr,"Optimizing the Piston/Bore Tribology: The Role of Surface Specifications, Ring Pack, and Lubricant",2020,"Zhmud, Boris; Tomanik, Eduardo; Grabon, Wieslaw; Schorr, Dietmar; Brodmann, Boris",JournalArticle,,,DOI: https://www.sae.org/content/2020-01-2167/,,,,,"['Boris Zhmud', 'Eduardo Tomanik', 'Wieslaw Grabon', 'Dietmar Schorr', 'Boris Brodmann']"
Ruth-Caroline Zimmermann,Aktuelle Problemfelder der steuerlichen Behandlung von Privatentnahmen und unentgeltlichen Wertabgaben - Fallbeispiele zur Bewertung und Buchung,2020,"Zimmermann, Ruth-Caroline; Dorn, Katrin",JournalArticle,,,,,,,,"['Ruth-Caroline Zimmermann', 'Katrin Dorn']"
Ruth-Caroline Zimmermann,"Aktuelles zum Betriebsausgabenabzug bei Geschenken, Aufmerksamkeiten, Streuwerbeartikeln und Verlosungen - Fallbeispiele und Praxishinweise",2020,"Zimmermann, Ruth-Caroline; Ludwig, Tim, Neu, Christine; Ribeaucourt, Ernestine",JournalArticle,,,,,,,,"['Ruth-Caroline Zimmermann', 'Tim Ludwig', 'Ernestine Ribeaucourt']"
Ruth-Caroline Zimmermann,Handels- und steuerrechtliche Bilanzierungs- und Bewertungsgrundsätze - Überblick über die allgemeinen Grundlagen zum Ansatz und zur Bewertung,2020,"Zimmermann, Ruth-Caroline; Dorn, Katrin",JournalArticle,,,,,,,,"['Ruth-Caroline Zimmermann', 'Katrin Dorn']"
Ruth-Caroline Zimmermann,Immaterielle Vermögensgegenstände/Wirtschaftsgüter in der Handels- und Steuerbilanz - Grundlagen und aktuelle Brennpunkte,2020,"Zimmermann, Ruth-Caroline; Dorn, Katrin; Bieschweski, Valerie",JournalArticle,,,,,,,,"['Ruth-Caroline Zimmermann', 'Katrin Dorn', 'Valerie Bieschweski']"
Ruth-Caroline Zimmermann,Bilanzierung und Bewertung von Vorratsvermögen - Handels- und steuerrechtliche Grundsätze,2020,"Zimmermann, Ruth-Caroline; Wrede, Alexander",JournalArticle,,,,,,,,"['Ruth-Caroline Zimmermann', 'Alexander Wrede']"
Marcus Strand,Classification of 3D structures based on an object detection for facade elements in multiple views during the reconstruction process,2019,"Baumann, Robin; Evers-Senne, Jan-Friso; Strand, Marcus",ContributionConferenceProceedings,,,,,,,,"['Robin Baumann', 'Jan-Friso Evers-Senne', 'Marcus Strand']"
Ulf-Daniel Ehlers,University Teacher Skills and Attitudes to Create and Use Open Educational Resources,2019,"Ehlers, Ulf-Daniel; Daukšienė, Estela; Teresevičienė, Margarita; Šadauskas, Marius",JournalArticle,,,,,,,,"['Ulf-Daniel Ehlers', 'Estela Daukšienė', 'Margarita Teresevičienė', 'Marius Šadauskas']"
Ulf-Daniel Ehlers,Future Skills and the Future of Higher Education,2019,"Ehlers, Ulf-Daniel",ContributionConferenceProceedings,,,,,,,,['Ulf-Daniel Ehlers']
Ulf-Daniel Ehlers,Learning Spaces and Places of Digital and Networked Society,2019,"Ehlers, Ulf-Daniel; Daukšienė, Estela; Teresevičienė, Margarita; Trepulė, Elena; Volungevičienė, Airina",ContributionConferenceProceedings,,,DOI: https://doi.org/10.1109/ICALT.2019.00012,,,,,"['Ulf-Daniel Ehlers', 'Estela Daukšienė', 'Margarita Teresevičienė', 'Elena Trepulė', 'Airina Volungevičienė']"
Ulf-Daniel Ehlers,Future Skills und Hochschulbildung – Future Skills Readiness,2019,"Ehlers, Ulf-Daniel",ContributionConferenceProceedings,,,,,,,,['Ulf-Daniel Ehlers']
Ulf-Daniel Ehlers,A New Framework for Professional Higher Education: Creating Synergie between Theory and Practice.,2019,"Ehlers, Ulf-Daniel; Schenkel, Stephan; Tratzmiller, Johannes",ContributionConferenceProceedings,,,,,,,,"['Ulf-Daniel Ehlers', 'Stephan Schenkel', 'Johannes Tratzmiller']"
Ulf-Daniel Ehlers,Future Learning – Future University,2019,"Ehlers, Ulf-Daniel; Kellermann, Sarah",ContributionBookEdited,,,,,,,,"['Ulf-Daniel Ehlers', 'Sarah Kellermann']"
Christiane Weiland,Next->Finance: Entwicklung innovativer Geschäftsmodelle für Finanzdiensleistungen.,2019,"Eichsteller, Daniel; Weiland, Christiane",ContributionConferenceProceedings,,,,,,,,"['Daniel Eichsteller', 'Christiane Weiland']"
,Teilhabe in der digitalen Bildungswelt,2019,,ConferenceProceedings,Waxmann,,,,,,,['']
Christiane Weiland,Die Steuerung der Risikotragfähigkeit bei regionalen Instituten: Auswirkungen der proportionalen Ausgestaltungsnormen,2019,"Herrmann, S.; Rinck, T.; Weiland, Christiane",JournalArticle,,,,,,,,"['S. Herrmann', 'T. Rinck', 'Christiane Weiland']"
,Proceedings of International Association of Sustainable Globalization,2019,,ConferenceProceedings,,,,,,,,['']
Sabine Landwehr-Zloch,Morphologischer Kasten zur Bildung für nachhaltige Entwicklung – Orientierung für Hochschulen zur Umsetzung von Nachhaltigkeit in der Lehre,2019,"Isenmann, Ralf; Landwehr-Zloch, Sabine; Zinn, Sascha",ContributionBookEdited,,,,,,,,"['Ralf Isenmann', 'Sabine Landwehr-Zloch', 'Sascha Zinn']"
Sabine Landwehr-Zloch,Effektivität und Effizienz in der Produktion durch verzahnte Prämien,2019,"Landwehr-Zloch, Sabine; Bader, O.",JournalArticle,,,,,,,,"['Sabine Landwehr-Zloch', 'O. Bader']"
Sabine Landwehr-Zloch,Verhaltensorientiertes Innovations-Controlling,2019,"Landwehr-Zloch, Sabine",JournalArticle,,,,,,,,['Sabine Landwehr-Zloch']
Sabine Landwehr-Zloch,Wertorientiertes Management und Controlling von Innovationen,2019,"Landwehr-Zloch, Sabine",ContributionBookEdited,,,,,,,,['Sabine Landwehr-Zloch']
Tanja Marschall,"Eine neue Berufsgruppe kommt in der Praxis an: Erste Erkenntnisse über Einsatzgebiete, Tätigkeiten und Gehalt von Physician Assistants/Arztassistenten in Deutschland",2019,"Marschall, Tanja; Hoffmann, Marcus",JournalArticle,,,DOI: https://doi.org/10.1055/s-0043-102182,,,,,"['Tanja Marschall', 'Marcus Hoffmann']"
Christian Möbius,Performancesteigerung trendbasierender aktienmarktorientierter Anlagestrategien durch Hinzunahme und Interpretation der Zinsstrukturkurve,2019,"Möbius, Christian; Sigg, Patrick",JournalArticle,,,,,,,,"['Christian Möbius', 'Patrick Sigg']"
Christian Möbius,Zukunftskonzept für die Ausschließlichkeitsorganisation – Teil 1,2019,"Möbius, Christian; Vetter, Roman",JournalArticle,,,,,,,,"['Christian Möbius', 'Roman Vetter']"
Christian Möbius,Zukunftskonzept für die Ausschließlichkeitsorganisation – Teil 2,2019,"Möbius, Christian; Vetter, Roman",JournalArticle,,,,,,,,"['Christian Möbius', 'Roman Vetter']"
,Die Großschifffahrtsstraße Rhein-Main-Donau – Ein Modell für Europa?,2019,"Schindler, Darius Oliver; Zimmermann, Yves",JournalArticle,,,,,,,,"['Darius Oliver Schindler', 'Yves Zimmermann']"
