employee_name,first_matched_job_title,employee_name_clean,location,year_stored
"Jordan-Kunert, Jennifer, Prof. Dr.",Professorin BWL - Marketing Management,Jennifer Jordan-Kunert,mannheim,2021
"Kastor, Michael, Prof. Dr.",Professor BWL - Industrie,Michael Kastor,mannheim,2021
"Kilthau, Andreas, Prof. Dr.",Professor Elektrotechnik,Andreas Kilthau,mannheim,2021
"Klein, Werner, Prof. Dr.",Professor Maschinenbau,Werner Klein,mannheim,2021
"Klenk, Thomas, Prof. Dr.","Studiengangsleiter, Professor Maschinenbau",Thomas Klenk,mannheim,2021
"Kölbl, Kathrin, Prof.",Professorin BWL - Marketing Management,Kathrin Kölbl,mannheim,2021
"König, Verena, Prof. Dr.",Studiengangsleiterin Immobilienwirtschaft,Verena König,mannheim,2021
"König, Verena, Prof. Dr.",Wissenschaftliche Leitung Partnermarketing,Verena König,mannheim,2021
"Kornmayer, Harald, Prof. Dr.",Professor Informatik,Harald Kornmayer,mannheim,2021
"Kornmeier, Martin, Prof. Dr.","Studiengangsleiter, Professor BWL - International Business binational (Double Degree)",Martin Kornmeier,mannheim,2021
"Koslowski, Frank, Prof. Dr.","Studiengangsleiter, Professor WI - Sales & Consulting",Frank Koslowski,mannheim,2021
"Krcal, Hans-Christian, Prof. Dr.","Studiengangsleiter, Professor BWL - Industrie",Hans-Christian Krcal,mannheim,2021
"Krug, Simone, Prof. Dr.",Professorin WI - International Management for Business and Information Technology,Simone Krug,mannheim,2021
"Kruse, Eckhard, Prof. Dr.",Professor Informatik,Eckhard Kruse,mannheim,2021
"Kubach, René",Akademischer Mitarbeiter BWL - Öffentliche Wirtschaft/Verwaltungswirtschaft,René Kubach,mannheim,2021
"Kuhlmann, Thorsten, B.A.","Personalwesen Professor*innen Wirtschaft A-K, Stellenbewertung - Fachbereich Personal",Thorsten Kuhlmann,mannheim,2021
"Kwasniok, Sascha, Prof. Dr.","Studiengangsleiter, Professor BWL - Versicherung",Sascha Kwasniok,mannheim,2021
"Lamek-Creutz, Bozena, Prof. Dr.-Ing.",Professorin Elektrotechnik,Bozena Lamek-Creutz,mannheim,2021
"Land, Beate, Prof. Dr.","Studiengangsleiterin, Professorin Angewandte Gesundheits- und Pflegewissenschaften",Beate Land,mannheim,2021
"Lembke, Gerald, Prof. Dr.","Studiengangsleiter, Professor ME - Digitale Medien/Medienmanagement und Kommunikation",Gerald Lembke,mannheim,2021
"Litzenberger, Rolf, Prof. Dr.","Studiengangsleiter, Professor Mechatronik",Rolf Litzenberger,mannheim,2021
"Mahn, Bernd, Prof. Dr.",Professor Wirtschaftsingenieurwesen,Bernd Mahn,mannheim,2021
"Maier, Björn, Prof. Dr.","Studiendekan, Studiengangsleiter, Professor BWL - Gesundheitsmanagement",Björn Maier,mannheim,2021
"Malinski, Peter, Prof. Dr.",Professor BWL - Industrie,Peter Malinski,mannheim,2021
"Martin, Clemens, Prof. Dr.-Ing.","Studiendekan, Studiengangsleiter, Professor WI - Sales & Consulting",Clemens Martin,mannheim,2021
"Matt, Michael, Prof. Dr.","Studiengangsleiter, Professor WI - Application Management",Michael Matt,mannheim,2021
"Meier, Alexander, Prof. Dr.","Studiengangsleiter, Professor BWL - Digital Business Management",Alexander Meier,mannheim,2021
"Meier, Victor, Prof. Dr.","Studiengangsleiter, Professor BWL - Industrie",Victor Meier,mannheim,2021
"Meissner, Hans, Prof. Dr.","Studiengangsleiter, Professor BWL - Versicherung",Hans Meissner,mannheim,2021
"Melzer-Ridinger, Ruth, Prof. Dr.","Studiengangsleiterin, Professorin Wirtschaftsingenieurwesen",Ruth Melzer-Ridinger,mannheim,2021
"Mkrtchyan, Lilit, Prof. Dr.","Studiengangsleiterin, Professorin Integrated Engineering",Lilit Mkrtchyan,mannheim,2021
"Möhring, Nicole, Prof. Dr.","Studiengangsleiterin, Professorin Elektrotechnik",Nicole Möhring,mannheim,2021
"Moroff, Gerhard, Prof. Dr.","Studiengangsleiter, Professor BWL - Industrie",Gerhard Moroff,mannheim,2021
"Mühlhan, Claus, Prof. Dr.-Ing.","Studiengangsleiter, Professor Maschinenbau",Claus Mühlhan,mannheim,2021
"Müller, Alisa",Akademische Mitarbeiterin Dual Assessment: Talente finden und fördern (TAFF),Alisa Müller,mannheim,2021
"Nehm, Alexander, Prof. Dr.","Professor BWL - Spedition, Transport und Logistik",Alexander Nehm,mannheim,2021
"Nitsch, Harald, Prof. Dr.","Studiengangsleiter, Professor BWL - Immobilienwirtschaft",Harald Nitsch,mannheim,2021
"Nolte, Cornelius, Prof. Dr.",Professor BWL - Industrie,Cornelius Nolte,mannheim,2021
"Obermayr, David",Akademischer Mitarbeiter ZeMath,David Obermayr,mannheim,2021
